confidence_cutoff,evaluated,correct,accuracy
0.15,419,418,0.9976
0.2,419,418,0.9976
0.25,419,418,0.9976
0.3,419,418,0.9976
0.35,419,418,0.9976
0.4,419,418,0.9976
0.45,419,418,0.9976
0.5,419,418,0.9976
