phenomenon,pairs,both_correct,consistency
attribute_color,55,0,0.0000
finegrained_confusable,34,34,1.0000
finegrained_distinct,24,24,1.0000
negation,74,0,0.0000
spatial_left,51,51,1.0000
overall,238,109,0.4580
