confidence_cutoff,evaluated,correct,accuracy
0.15,914,825,0.9026
0.2,914,825,0.9026
0.25,914,825,0.9026
0.3,914,825,0.9026
0.35,914,825,0.9026
0.4,914,825,0.9026
0.45,914,825,0.9026
0.5,914,825,0.9026
