confidence_cutoff,evaluated,correct,accuracy
0.15,914,610,0.6674
0.2,914,610,0.6674
0.25,914,610,0.6674
0.3,906,609,0.6722
0.35,894,603,0.6745
0.4,844,575,0.6813
0.45,745,526,0.7060
0.5,638,469,0.7351
